"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1130134","","242946","ضاحية باراماريبو","","Paramaribo","Paramaribo District","Paramaribo","Paramaribo","","पारामारिबो जिला","","Distrik Paramaribo","distretto di Paramaribo","パラマリボ地方","파라마리보 구","Paramaribo","Paramaribo","Paramaribo","Парамарибо","Paramaribo","","","帕拉马里博区"
"Q1140891","","","ضاحية بارا","পারা জেলা","Para","Para District","Para","Para","Πάρα","पारा जिला","","Distrik Para","distretto del Para","パラ","파라 구","Para","Para","Para","Пара","Para","Para District","Quận Para","帕拉区"
"Q1131523","","","كوبربيلت","কপারবেলাট প্রদেশ","Copperbelt","Copperbelt Province","Provincia de Copperbelt","Copperbelt","Κόππερμπελτ","कॉपरबेल्ट प्रांत","","Provinsi Copperbelt","provincia di Copperbelt","カッパーベルト州","코퍼벨트 주","Copperbelt","Prowincja Pasa Miedzionośnego","Copperbelt","Коппербелт","Copperbelt","Copperbelt Bölgesi","Tỉnh Copperbelt","铜带省"
"Q1130141","","","ضاحية كوروني","করোনে জেলা","Coronie","Coronie District","Coronie","Coronie","Κορονίε","कोरोनी ज़िला","","Distrik Coronie","distretto di Coronie","コロニー","코로니 구","Coronie","Coronie","Coronie","Корони","Coronie","Coronie","Quận Coronie","科罗尼区"
"Q952510","","","مقاطعة كوميويجني","কমেইউজনে জেলা","Commewijne","Commewijne District","Commewijne","Commewijne","Κομεγουίζνε","कौमवेना जिला","","Distrik Commewijne","distretto del Commewijne","コメウィン地方","코메베이너 구","Commewijne","Commewijne","Commewijne","Коммевейне","Commewijne","Commewjine District","Quận Commewijne","科默韦讷区"
"Q881839","","184530","كازابا","কাজাপা","Caazapá","Caazapá","Caazapá","Caazapá","Καασαπά","कज़ापा","Caazapá megye","Departemen Caazapá","Caazapá","カアサパー県","카사파 주","Caazapá","Caazapá","Caazapá","Каасапа","Caazapá","Caazapa","Caazapá","卡薩帕省"
"Q1130138","","","مقاطعة سيباليويني","শিপালিওয়ানি জেলা","Sipaliwini","Sipaliwini District","Sipaliwini","Sipaliwini","Σιπαλιβίνι","सिपेलिविनी जिला","","Distrik Sipaliwini","distretto del Sipaliwini","シパリウィニ","시팔리비니 구","Sipaliwini","Sipaliwini","Sipaliwini","Сипаливини","Sipaliwini","Sipaliwini District","Quận Sipaliwini","锡帕利维尼区"
"Q1023712","","55419","سان فرناندو، ترينيداد وتوباغو","সান ফারনান্দু","San Fernando","San Fernando","San Fernando","San Fernando","Σαν Φερνάντο","सैन फर्नान्डो","","San Fernando","San Fernando","サンフェルナンド","샌퍼넌도","San Fernando","San Fernando","San Fernando","Сан-Фернандо","San Fernando","San Fernando","San Fernando","聖費爾南多"
"Q596156","","1166928","مقاطعة ماشونالاند الوسطى","ম্যাশোনাল্যান্ড কেন্দ্রীয় প্রদেশ","Provinz Mashonaland Central","Mashonaland Central Province","Mashonalandia Central","Mashonaland central","Κεντρική Μασοναλάνδη","मशोनालैंड मध्य प्रांत","","Mashonaland Pusat","provincia del Mashonaland Centrale","中央マショナランド州","중앙마쇼날랜드 주","Mashonaland Central","Maszona Środkowa","Mashonaland Central","Центральный Машоналенд","Mashonaland Central","Mashonaland Merkez","Tỉnh Miền Trung Mashonaland","中馬紹納蘭省"
"Q610726","","","بلدية فيكيك","ভিকুয়েকুয়ে পৌরসভা","Viqueque","Viqueque Municipality","Viqueque","Viqueque","Βικέκε","विक्वेक्वे नगरपालिका","","Viqueque","distretto di Viqueque","ヴィケケ県","비케크 현","Viqueque","Dystrykt Viqueque","Viqueque","Викеке","Viqueque","Viqueque Belediyesi","Viqueque","維克克縣"
"Q629934","","","بلدية مانوفاهي","মানুফাহি পৌরসভা","Manufahi","Manufahi Municipality","Manufahi","Manufahi","Μαναφουάι","मैनुफाही नगरपालिका","","Manufahi","Manufahi","マヌファヒ県","마누파이 현","Manufahi","Dystrykt Manufahi","Manufahi","Мануфахи","Manufahi","Manufahi Belediyesi","Manufahi","馬努法伊縣"
"Q591194","","123442","ميسيونيس","মিশনেস","Departamento Misiones","Misiones Department","Misiones","Misiones","Μισιόνες","मिशिनेस","Misiones megye","Departemen Misiones","Misiones","ミシオネス県","미시오네스 주","Misiones","Misiones","Misiones","Мисьонес","Misiones","Misiones","Misiones","米西奧內斯省"
"Q505220","","","إقليم هوانكافليكا","হুয়াঙ্কাভেলিকা অঞ্চল","Huancavelica","Huancavelica Region","Departamento de Huancavelica","Région de Huancavelica","Χουανκαβελίκα","हुआंकावेलिका प्रदेश","Huancavelica megye","Region Huancavelica","regione di Huancavelica","ワンカベリカ県","우앙카벨리카 주","Huancavelica","Region Huancavelica","Huancavelica","Уанкавелика","Huancavelica","Huancavelica Bölgesi","Khu vực Huancavelica","萬卡韋利卡大區"
"Q526176","","419629","إدارة سان بيدرو","সান পেড্রো","Departament de San Pedro","San Pedro Department","San Pedro","San Pedro","Σαν Πέδρο","सैन पेड्रो विभाग","San Pedro megye","Departemen San Pedro","San Pedro","サン・ペドロ県","산페드로 주","San Pedro","San Pedro","San Pedro","Сан-Педро","San Pedro","San Pedro","San Pedro","聖佩德羅省"
"Q579240","","","مقاطعة ليما","লিমা প্রদেশ","Provinz Lima","Lima Province","Provincia de Lima","province de Lima","Επαρχία Λίμας","लीमा प्रांत","","Provinsi Lima","provincia di Lima","リマ郡","리마 군","Lima","Prowincja Lima","Lima","Лима","Lima","Lima ili","Tỉnh Lima","利馬省"
"Q502170","","","بونتاريناس","পুন্টারেনাস প্রদেশ","Provinz Puntarenas","Puntarenas Province","Puntarenas","Puntarenas","Επαρχία Πουνταρένας","पंटारेनस प्रांत","","Provinsi Puntarenas","provincia di Puntarenas","プンタレナス州","푼타레나스 주","Puntarenas","Puntarenas","Puntarenas","Пунтаренас","Puntarenas","Puntaneras Province","Puntarenas","蓬塔雷纳斯省"
"Q1147515","","","مقاطعة نيكيري","নিকেরি জেলা","Nickerie","Nickerie District","Nickerie","Nickerie","Επαρχία Νίκερι","निकेरी जिला","","Distrik Nickerie","distretto del Nickerie","ニッケリ","니케리 구","Nickerie","Nickerie","Nickerie","Никкери","Nickerie","Nickerie District","Quận Nickerie","尼克里区"
"Q1140897","","","مقاطعة مارويجيني","মারোভিজনে জেলা","Marowijne","Marowijne District","Marowijne","Marowijne","Μαρογουίτζνε","मारोविएने जिला","","Distrik Marowijne","distretto del Marowijne","マロウェイネ","마로베이너 구","Marowijne","Marowijne","Marowijne","Маровейне","Marowijne","Marowjine District","Quận Marowijne","马罗韦讷区"
"Q668171","","","مقاطعة إرميرا","এরমেরা জেলা","Ermera","Ermera District","Ermera","Ermera","Ερμέρα","एरमेरा जिला","","Ermera","Ermera","エルメラ県","에르메라 현","Ermera","Dystrykt Ermera","Ermera","Эрмера","Ermera","Ermera District","Ermera","埃爾梅拉縣"
"Q1147524","","","مقاطعة وانيكا","ওয়ানিকা জেলা","Wanica","Wanica District","Wanica","Wanica","Γουανίκα","वानिका जिला","","Distrik Wanica","distretto di Wanica","ワニカ","바니카 구","Wanica","Wanica","Wanica","Ваника","Wanica","Wanica District","Quận Wanica","瓦尼卡区"
"Q1351157","","","مقاطعة ساراماكا","সারামাকা জেলা","Saramacca","Saramacca District","Saramacca","Saramacca","Σαραμάκα","सरमक्का जिला","","Distrik Saramacca","distretto del Saramacca","サラマッカ","사라마카 구","Saramacca","Saramacca","Saramacca","Сарамакка","Saramacca","Saramacca District","Quận Saramacca","萨拉马卡区"
"Q682642","","17219","إدارة ألتو باراغواي","আল্টো প্যারাগুই","Departamento Alto Paraguay","Alto Paraguay Department","Alto Paraguay","Alto Paraguay","Άνω Παραγουάης","आल्टो पैराग्वे विभाग","Alto Paraguay megye","Departemen Alto Paraguay","Alto Paraguay","アルト・パラグアイ県","알토파라과이 주","Alto Paraguay","Górny Paragwaj","Alto Paraguay","Альто-Парагвай","Alto Paraguay","Alta Paraguai","Alto Paraguai","上巴拉圭省"
"Q682654","","785747","ألتو بارانا","আলটো পারানা","Departamento Alto Paraná","Alto Paraná Department","Alto Paraná","Alto Paraná","Άνω Παρανά","अल्टो पराना","Alto Paraná megye","Departemen Alto Paraná","Alto Paraná","アルト・パラナ県","알토파라나 주","Alto Paraná","Górna Parana","Alto Paraná","Альто-Парана","Alto Paraná","Alto Parana","Alto Paraná","上巴拉那省"
"Q2056273","","","شركة بينال ديب الإقليمية","পেনাল-ডেবে আঞ্চলিক কর্পোরেশন","Penal-Debe","Penal-Debe Regional Corporation","Penal-Debe","Région de Penal-Debe","Πενάλ-Ντέμπε","पीनल-डेबी क्षेत्रीय निगम","","Korporasi Wilayah Penal-Debe","regione di Penal-Debe","ペナル＝デベ地域自治体","페날데베 지역","Penal - Debe","Region Penal-Debe","Região de Penal Debe","Пенал-Деб","Penal Debe","Penal-Debe Bölgesi","Khu liên kết chung Penal-Debe","皮納爾-德貝郡"
"Q1899163","","","شركة تونابونا بياركو الإقليمية","টোনাপোনা-পিয়াকু আঞ্চলিক কর্পোরেশন","Tunapuna-Piarco","Tunapuna-Piarco Regional Corporation","Tunapuna-Piarco","Région de Tunapuna-Piarco","Τουναπούνα-Πιάρκο","टूनापूना-पायरको क्षेत्रीय निगम","","Korporasi Wilayah Tunapuna-Piarco","regione di Tunapuna-Piarco","マコヤ","투나푸나피아르코 지역","Tunapuna - Piarco","Region Tunapuna-Piarco","Tunapuna Piarco","Тунапуна-Пиарко","Tunapuna-Piarco Regional Corporation","Tunapuna-Piarco Regional Corporation","Khu liên kết chung Tunapuna-Piarco","麥高耶"
"Q1444575","","67433","تشاغواناس","চাগোয়ানেস","Chaguanas","Chaguanas","Chaguanas","Chaguanas","Τσαγκουάνας","चगवानस","Chaguanas","Chaguanas","Chaguanas","チャグアナス","차과나스","Chaguanas","Chaguanas","Chaguanas","Чагуанас","Chaguanas","Chaguanas","Chaguanas","查瓜納斯"
"Q738382","","","المحافظة الجنوبية، زامبيا","সাউদার্ন প্রদেশ","Südprovinz","Southern Province","Provincia del Sur","Province Méridionale","Νότια Επαρχία","दक्षिणी प्रांत","","Provinsi Selatan","provincia Meridionale","南部州","남부 주","Southern","Prowincja Południowa","Província do Sul","Южная провинция","Southern","Güney Bölgesi","Tỉnh Phía Nam","南部省"
"Q735570","","","مقاطعة هوهو","হোহো জেলা","Hhohho","Hhohho District","Hhohho","Hhohho","Χνόχο","होहो जिला","","Distrik Hhohho","distretto di Hhohho","ホホ","호호 구","Hhohho","Dystrykt Hhohho","Hhohho","Хохо","Hhohho","Hhohho District","Quận Hhohho","霍霍"
"Q686586","","164462","إدارة امامباي","আমাম্বে","Departamento Amambay","Amambay Department","Amambay","Amambay","Αμαμπάι","अमैम्बे","Amambay megye","Departemen Amambay","Amambay","アマンバイ県","아맘바이 주","Amambay","Amambay","Amambay","Амамбай","Amambay","Amambay","Amambay","阿曼拜省"
"Q686554","","","بلدية لوتيم","লাটিম পৌরসভা","Lautém","Lautém Municipality","Lautem","Lautém","Λαουτέμ","लौटेम नगरपालिका","","Lautém","distretto di Lautém","ラウテン県","라우텡 현","Lautém","Dystrykt Lautém","Lautém","Лаутен","Lautém","Lautém Belediyesi","Lautém","勞滕縣"
"Q729170","","","باري","বারি","Bari","Bari","Bari","Bari","Μπάρι","बारी","","Bari","Bari","バリ州","바리 주","Bari","Bari","Bari","Бари","Bari","Bari","Bari","巴里州"
"Q2360912","","","آتول ها ألف","হা আলিফ  এটল","Haa Alif","Haa Alif Atoll","Atolón Haa Alif","Haa Alifu","Χαά Αλίφ Ατόλ","हा अलिफ एटोल","Északi-Tiladummati-atoll","Atol Haa Alif","Atollo Haa Alif","ハーアリフ環礁","하알리프 환초","Haa Alif-atol","Haa Alif","Haa Alif Atoll","Хаа-Алиф","Haa Alifu Atholhu","Haa Alif Atoll","Haa Alif Atoll","哈阿里夫環礁"
"Q2228167","","","شركة برنس تاون الإقليمية","প্রিন্সেস টাউন আঞ্চলিক কর্পোরেশন","Princes Town Region","Princes Town Regional Corporation","Princes Town","Région de Princes Town","Πρίνσις Τάουν","प्रिंस टाउन क्षेत्रीय निगम","","Korporasi Wilayah Princes Town","regione di Princes Town","プリンセス・タウン地域自治体","프린세스타운 지역","Princes Town","Region Princes Town","Corporação Regional Princes Town","Принсес-Таун","Princes Town Regional Corporation","Princes Town Bölgesi","Khu liên kết chung Princes Town","王子城郡"
"Q748486","","","المحافظة الغربية، زامبيا","ওয়েস্টার্ন প্রদেশ","Westprovinz","Western Province","Provincia del Oeste","Province Occidentale","Δυτική Επαρχία","पश्चिमी प्रांत","","Provinsi Barat","provincia Occidentale","西部州","서부 주","Western","Prowincja Zachodnia","Província Ocidental","Западная провинция","Western","Batı Bölgesi","Tỉnh Phía Tây","西方省"
"Q741017","","63011","مقاطعة بوكويرون","বুকেরন","Departamento Boquerón","Boquerón Department","Boquerón","Boquerón","Μποκερόν","सोलह बोकेरोन","Boquerón megye","Departemen Boquerón","Boquerón","ボケローン県","보케론 주","Boquerón","Boquerón","Boquerón","Бокерон","Boquerón","XVI Boqueron","XVI Boquerón","博克龍省"
"Q2679119","","","شركة سيباريا الإقليمية","সিপারিয়া আঞ্চলিক কর্পোরেশন","Siparia","Siparia Regional Corporation","Siparia","Région de Siparia","Σιπάρια","सिपरिया रीजनल कॉर्पोरेशन","","Korporasi Wilayah Siparia","regione di Siparia","シパリア地域自治体","시파리아 지역","Siparia","Region Siparia","Siparia","Сипария","Siparia","Siparia Regional Corporation","Khu liên kết chung Siparia","錫帕里亞郡"
"Q750551","","121075","بريزيدنت هايز","প্রেসিডেন্টে হায়েস","Departamento Presidente Hayes","Presidente Hayes Department","Presidente Hayes","Presidente Hayes","Πρεσιδέντε Άγιες","प्रेसिदेंते हेयेस","Presidente Hayes megye","Departemen Presidente Hayes","Presidente Hayes","プレシデンテ・アジェス県","프레시덴테아예스 주","Presidente Hayes","Presidente Hayes","Presidente Hayes","Пресиденте-Аес","Presidente Hayes","Presidente Hayes","Presidente Hayes","阿耶斯總統省"
"Q755116","","220818","غوايرا","গোয়াইরা","Departamento Guairá","Guairá Department","Guairá","Guairá","Γκουαϊρά","गुयारा विभाग","Guairá megye","Departemen Guairá","Guairá","グアイラー県","과이라 주","Guairá","Guairá","Guairá","Гуайра","Guairá","Guaira","Guaira","瓜伊拉省"
"Q755115","","88784","إدارة نيمبوكو","নেম্বুকু","Departamento Ñeembucú","Ñeembucú Department","Ñeembucú","Ñeembucú","Νιεεμπουκού","नीम्बुकु","Ñeembucú megye","Departemen Ñeembucú","Ñeembucú","ニェエンブクー県","녬부쿠 주","Ñeembucú","Ñeembucú","Ñeembucú","Ньеэмбуку","Ñeembucú","Neembucu","Neembucú","涅恩布庫省"
"Q778738","","","المحافظة الشمالية، زامبيا","নর্দান প্রদেশ","Nordprovinz","Northern Province","Provincia del Norte","Province Septentrionale","Βόρεια Επαρχία","उत्तरी प्रांत","","Provinsi Utara","provincia Settentrionale","北部州","북부 주","Northern","Prowincja Północna","Província do Norte","Северная провинция","Northern","Kuzey Bölgesi","Tỉnh Phía Bắc","北方省"
"Q755121","","299234","كورديليرا","কর্ডিল্যেরা","Departamento Cordillera","Cordillera Department","Cordillera","Cordillera","Κορδιγιέρα","कार्डिलेरा","Cordillera megye","Departemen Cordillera","Cordillera","コルディリェラ県","코르디예라 주","Cordillera","Cordillera","Cordillera","Кордильера","Cordillera","Cordillera","Cordillera","科迪勒拉省"
"Q811132","","123203","بلدية بوكاو","বাউকাউ পৌরসভা","Baucau","Baucau Municipality","Baucau","Baucau","Μποκό","बौकाऊ नगरपालिका","","Baucau","distretto di Baucau","バウカウ県","바우카우 현","Baucau","Dystrykt Baucau","Baucau","Баукау","Baucau","Baucau Belediyesi","Baucau","包考縣"
"Q819998","","","لوساكا","লুকাকা প্রদেশ","Lusaka","Lusaka Province","Provincia de Lusaka","Province de Lusaka","Λουσάκα","लुसाका प्रांत","","Provinsi Lusaka","provincia di Lusaka","ルサカ州","루사카 주","Lusaka","Prowincja Lusaka","Lusaca","Лусака","Lusaka","Lusaka Bölgesi","Tỉnh Lusaka","卢萨卡省"
"Q786957","","19056","بوينت فورتين","পয়েন্ট ফোর্টিন","Point Fortin","Point Fortin","Point Fortin","Point Fortin","Πόιντ Φόρτιν","पॉइंट फोर्टिन","","Point Fortin","Point Fortin","ポイント・フォーティン","포인트포르틴","Point Fortin","Point Fortín","Point Fortin","Пойнт-Фортин","Point Fortin","Point Fortin","Point Fortin","波因特福廷"
"Q846320","","","المحافظة الشمالية الغربية، زامبيا","নর্থ-ওয়েস্টার্ন প্রদেশ","Nordwestprovinz","Northwestern Province","Provincia del Noroeste","Province Nord-Occidentale","Βορειοδυτική Επαρχία","उत्तर पश्चिमी प्रांत","","Provinsi Barat Laut","provincia Nord-Occidentale","北西州","북서부 주","North-Western","Prowincja Północno-Zachodnia","Noroeste","Северо-Западная провинция","North-Western","Kuzeybatı Bölgesi","Tỉnh Tây Bắc","西北省"
"Q845934","","","مقاطعة شيزلويني","শিসেলওয়েনি জেলা","Shiselweni","Shiselweni District","Shishelweni","Shiselweni","Σισελουένι","शिसेल्वेनी जिला","","Distrik Shiselweni","distretto di Shiselweni","シセルウェニ","시셀웨니 구","Shiselweni","Dystrykt Shiselweni","Shishelweni","Шиселвени","Shiselweni","Shiselweni District","Quận Shiselweni","希塞卢韦尼"
"Q823810","","","المحافظة الشرقية، زامبيا","ইস্টার্ন প্রদেশ","Ostprovinz","Eastern Province","Provincia del Este","Province orientale","Ανατολική Επαρχία","पूर्वी प्रांत","","Provinsi Timur","Zambia orientale","東部州","동부 주","Eastern","Prowincja Wschodnia","Província Oriental","Восточная Замбия","Eastern","Doğu Bölgesi","Tỉnh Phía Đông","东方省"
"Q16928358","","","إقليم هراري","","Provinz Harare","Harare Province","","","","","","","","","","","","Harare","Хараре","","","",""
"Q2679127","","","شركة كوفا تاباكويت تالبارو الإقليمية","কুভা তাবাকুইত অঞ্চল","Couva-Tabaquite-Talparo","Couva-Tabaquite-Talparo Regional Corporation","Couva-Tabaquite-Talparo","Région de Couva-Tabaquite-Talparo","Κούβα-Ταμπακουίτε-Ταλπάρο","कूवा-ताबाक्वाइट-तालपारो क्षेत्रीय निगम","","Korporasi Wilayah Couva-Tabaquite-Talparo","regione di Couva-Tabaquite-Talparo","クーバ＝タバキテ＝タルパロ地域自治体","쿠바타바키테탈파로 지역","Couva - Tabaquite - Talparo","Region Couva-Tabaquite-Talparo","Couva Tabaquite Talparo","Кува-Табаките-Тальпаро","Couva Tabaquite Talparo","Couva-Tabaquite-Talparo Regional Corporation","Khu liên kết chung Couva-Tabaquite-Talparo",""
"Q2679107","","","شركة دييجو مارتن الإقليمية","ডিয়েগু মার্টিন অঞ্চল","Diego Martin","Diego Martin Regional Corporation","Diego Martin","Région de Diego Martin","Ντιέγκο Μαρτίν","डिएगो मार्टिन क्षेत्रीय निगम","","Korporasi Wilayah Diego Martin","regione di Diego Martin","ディエゴ・マーティン地域自治体","디에고마틴 지역","Diego Martin","Region Diego Martin","Diego Martin","Диего-Мартин","Diego Martin","Diego Martin Bölgesel Ortaklığı","Khu liên kết chung Diego Martin",""
"Q2487249","","","ريو كلارو مايارو الإقليمية","রিও ক্লারো-মায়ারো আঞ্চলিক কর্পোরেশন","Mayaro-Rio Claro","Rio Claro-Mayaro Regional Corporation","Río Claro-Mayaro","Région de Rio Claro-Mayaro","Ρίο Κλάρο-Μαγιάρο","रिओ क्लैरो-मायारो क्षेत्रीय निगम","","Korporasi Wilayah Rio Claro-Mayaro","regione di Rio Claro-Mayaro","リオ・クラロー＝マヤロ","리오클라로마야로 지역","Rio Claro - Mayaro","Korporacja Rio Claro-Mayaro","Região de Rio Claro Mayaro","Рио Кларо-Майяро","Rio Claro-Mayaro","Rio Claro-Mayaro","Khu liên kết chung Rio Claro-Mayaro",""
"Q979608","","","شركة سان خوان لافنتيل الإقليمية","সান জুয়ান-লাভেন্তিলে আঞ্চলিক কর্পোরেশন","San Juan-Laventille","San Juan-Laventille Regional Corporation","San Juan-Laventille","Région de San Juan-Laventille","Σαν Χουάν-Λαβεντίλε","सैन जुआन लैवेंटिल क्षेत्र","","Korporasi Wilayah San Juan-Laventille","regione di San Juan-Laventille","サン・ファン＝ラヴェンティル地域自治体","산후안라벤틸 지역","San Juan - Laventille","Region San Juan-Laventille","San Juan-Laventille","Сан-Хуан-Лавентиль","San Juan-Laventille","San Juan-Laventille Bölgesel Kurumu","Khu liên kết chung San Juan-Laventille",""
"Q661405","","32278","آريما","এরিমা","Arima","Arima","Arima","Arima","Αρίμα","अरिमा","","Arima","Arima","アリマ","아리마","Arima","Arima","Arima","Арима","Arima","Arima","Arima",""
"Q290292","","","شركة سانجر غراند الإقليمية","সাঙরে গ্রান্ডে আঞ্চলিক কর্পোরেশন","Sangre Grande","Sangre Grande Regional Corporation","Sangre Grande","Région de Sangre Grande","Σάνγκρε Γκράντε","सैन्ग्रे ग्रांडे क्षेत्रीय निगम","","Korporasi Wilayah Sangre Grande","regione di Sangre Grande","サングレ・グランド地域自治体","상그레그란데 지역","Sangre Grande","Region Sangre Grande","Região Sangre Grande","Сангр-Гранде","Sangre Grande Regional Corporation","Sangre Grande Bölgesel Kurumu","Khu liên kết chung Sangre Grande",""
"Q16579","","","إدارة سان خوسيه","সানা জুসে বিভাগ","Departamento San José","San José Department","Departamento de San José","San José","Σαν Χοσέ","सैन जोस विभाग","San José megye","Departemen San José","dipartimento di San José","サン・ホセ県","산호세 주","San José","San José","San José","Сан-Хосе","San José","San Jose Departmanı","San José","圣何塞省"
"Q16582","","","إدارة روتشا","রোচা ডিপার্টমেন্ট","Departamento Rocha","Rocha Department","Departamento de Rocha","Rocha","Ρότσα","रोचा विभाग","Rocha megye","Departemen Rocha","dipartimento di Rocha","ロチャ県","로차 주","Rocha","Rocha","Rocha","Роча","Rocha","Rocha Departmanı","Rocha","罗恰省"
"Q16580","","","إدارة كولونيا","কুলুনিয়া বিভাগ","Departamento Colonia","Colonia Department","Departamento de Colonia","Colonia","Κολόνια","कोलोनिया विभाग","Colonia megye","Departemen Colonia","dipartimento di Colonia","コロニア県","콜로니아 주","Colonia","Colonia","Colonia","Колония","Colonia","Colonia Department","Colonia","科洛尼亚省"
"Q16584","","","إدارة سوريانو","সরিয়ানো বিভাগ","Departamento Soriano","Soriano Department","Soriano","Soriano","Σοριάνο","सोरियानो विभाग","Soriano megye","Departemen Soriano","dipartimento di Soriano","ソリアノ県","소리아노 주","Soriano","Soriano","Soriano","Сорьяно","Soriano","Soriana Department","Soriano","索里亚诺省"
"Q16587","","","إدارة تاكواريمبو","তাকুরেম্বু বিভাগ","Departamento Tacuarembó","Tacuarembó Department","Departamento de Tacuarembó","Tacuarembó","Τακουαρεμπό","टैकुआरेम्बो विभाग","Tacuarembó megye","Departemen Tacuarembó","dipartimento di Tacuarembó","タクアレンボー県","타쿠아렘보 주","Tacuarembó","Tacuarembó","Tacuarembó","Такуарембо","Tacuarembó","Tacuarembo Departmanı","Khu vực hành chính Tacuarembó","塔夸伦博省"
"Q834","","","كانتون فاليز","ক্যান্টন অব ভ্যালাইস","Kanton Wallis","Canton of Valais","cantón del Valais","canton du Valais","Καντόνι του Βαλαί","वाले कैन्टन","Wallis kanton","Kanton Valais","Canton Vallese","ヴァレー州","발레 주","Wallis","Valais","Valais","Вале","Valais","Valais","Valais","瓦莱州"
